id,first_name,last_name,detentions,missed
149,Jeffrey,Lawson,0,20
150,Deborah,Morris,25,27
151,Debra,Hayes,17,19
152,Diane,Carpenter,9,21
153,Tammy,Romero,19,22
154,Jacqueline,Ward,2,13
155,Joyce,Lane,25,7
156,Earl,Bowman,14,12
157,Pamela,Bowman,14,6
158,Gerald,Morales,15,18
159,Tammy,Ramirez,26,2
160,Jose,Kennedy,27,16
161,Janice,Robinson,21,0
162,Melissa,Gardner,16,22
163,Beverly,Cole,12,20
164,Charles,Williamson,21,21
165,Mary,Mason,16,12
166,Nicole,Hanson,12,4
167,Jeffrey,Barnes,20,8
168,George,Hamilton,19,2
169,Beverly,Campbell,27,22
170,Victor,Ray,16,5
171,Jessica,Tucker,24,13
172,Julia,Moreno,14,21
173,Ralph,Cunningham,7,27
174,Michelle,Burton,1,20
175,Julie,Howell,0,25
176,Cynthia,Morris,21,26
177,Joan,Gomez,27,14
178,Kathryn,Gordon,10,0
179,Sandra,Gonzalez,7,27
180,Gerald,Palmer,4,15
181,Joyce,Daniels,4,15
182,Christine,Robertson,22,5
183,Carlos,Reed,20,16
184,Karen,Holmes,6,10
185,Alice,Hernandez,3,11
186,Barbara,Graham,7,6
187,Virginia,Banks,15,5
188,Michelle,Dixon,11,17
189,Jonathan,Holmes,26,27
190,Sharon,Simmons,6,14
191,Scott,Simmons,10,19
192,Denise,Morales,23,0
193,Amy,West,9,6
194,Angela,Clark,18,21
195,Eric,Gardner,0,11
196,Brian,Harper,26,18
197,Anthony,Grant,21,11
198,Mark,Stevens,8,11
199,Douglas,Richardson,28,5
200,Christina,Matthews,25,1
201,Michael,Jones,7,20
202,Jonathan,Chapman,24,20
203,Carol,Mitchell,12,26
204,Tina,Alvarez,14,23
205,Wanda,Roberts,20,24
206,Douglas,Price,21,8
207,Kelly,Riley,20,13
208,Judy,Stevens,21,6
209,Billy,Williams,22,25
210,Larry,Ryan,15,0
211,Philip,Mccoy,28,12
212,Harry,Lewis,15,21
213,Laura,Edwards,16,2
214,Cheryl,Collins,9,11
215,Julie,Barnes,24,18
216,Henry,Smith,25,16
217,Jerry,Collins,15,0
218,Pamela,Cruz,18,22
219,Amanda,Peters,7,14
220,Gregory,Marshall,10,13
221,Jessica,Hanson,22,27
222,Ruby,Fields,5,23
223,Gregory,Cunningham,8,20
224,Louis,Day,21,1
225,Peter,Edwards,13,15
226,Ernest,Ramos,22,17
227,Virginia,Gonzalez,4,15
228,Gregory,Bishop,19,6
229,Matthew,Hart,6,1
230,Mildred,Carroll,15,13
231,Teresa,Mccoy,23,4
232,Beverly,Stephens,23,4
233,Brandon,Ward,1,8
234,Larry,Watkins,25,16
235,Janice,Ray,0,14
236,Nicholas,Medina,28,1
237,Fred,Jacobs,10,18
238,Sharon,Gray,28,13
239,Craig,Anderson,28,23
240,Andrew,Gibson,11,6
241,Paula,Gutierrez,12,28
242,Howard,Harrison,20,3
243,Jack,Foster,3,3
244,Frank,Morales,28,5
245,Kelly,Moreno,22,7
246,Jerry,Weaver,1,25
247,Jennifer,Lopez,27,1
248,Anna,Coleman,11,9
249,Charles,Crawford,1,26
250,Annie,Hill,27,24
251,Martha,Woods,27,19
252,Kenneth,Ryan,14,23
253,Elizabeth,Patterson,25,8
254,Betty,Rodriguez,1,15
255,Brian,Bell,2,18
256,Lisa,Cole,4,26
257,Carl,Patterson,16,10
258,Christina,Gilbert,3,18
259,Patricia,Mitchell,28,8
260,Charles,Chavez,7,6
261,Amy,Frazier,26,27
262,William,Cook,22,20
263,Douglas,Lawson,19,27
264,Randy,Sanchez,0,3
265,Joshua,Diaz,22,14
266,Gloria,Thompson,4,26
267,Bobby,Sullivan,3,1
268,Linda,Ward,3,2
269,Amy,Patterson,8,3
270,Henry,Burke,13,10
271,Margaret,Chavez,3,10
272,Ralph,Rice,4,26
273,Christine,Henry,26,3
274,Nancy,Collins,22,22
275,Shirley,Coleman,24,23
276,Robert,Gardner,27,9
277,Evelyn,Hicks,4,0
278,Fred,Jacobs,9,23
279,Susan,Mitchell,0,26
280,Gary,Torres,15,6
281,Karen,Lawrence,10,7
282,Ann,Adams,10,28
283,Deborah,Richardson,27,27
284,Sandra,Moreno,3,23
285,Randy,Peters,0,8
286,Albert,Bailey,9,10
287,Lawrence,Howard,11,22
288,Gerald,Hart,2,8
289,Karen,Ford,26,20
290,Anne,Montgomery,10,9
291,Matthew,Mcdonald,24,8
292,Michelle,Williamson,28,12
293,Christine,Ray,12,9
294,Janice,Hawkins,20,19
295,Louise,Black,22,22
296,Wayne,Matthews,2,5
297,Wayne,Dean,27,7
298,Brian,Watkins,25,13
299,Antonio,Spencer,3,28
300,Helen,Johnston,22,4
301,Mildred,Ramos,10,7
302,Irene,Gibson,1,1
303,Donna,Dixon,12,24
304,Robin,Gonzales,10,26
305,Karen,Mason,10,12
306,Anthony,Mendoza,5,19
307,Douglas,Walker,1,3
308,Karen,Dunn,12,15
309,Cynthia,Green,24,15
310,Norma,Brooks,17,3
311,Emily,Austin,25,21
312,Carlos,Parker,23,21
313,Robin,Green,6,18
314,Alan,Peters,8,16
315,Elizabeth,Knight,14,28
316,Jessica,Jones,26,14
317,Sarah,Graham,23,4
318,Andrew,Fuller,4,10
319,Denise,Vasquez,13,27
320,Michelle,Chapman,13,16
321,Steve,Lynch,24,11
322,Fred,Edwards,2,6
323,Debra,Graham,26,14
324,Justin,Ray,28,20
325,Justin,Cook,26,8
326,Doris,Ford,25,21
327,Sarah,Peters,10,10
328,Laura,Jacobs,21,14
329,Sean,Franklin,3,22
330,Martha,Bradley,23,14
331,Robert,Thompson,15,7
332,Christine,Ortiz,25,6
333,Shirley,Williams,21,18
334,Ruth,Diaz,4,7
335,Kathryn,Allen,21,23
336,Carlos,Perkins,25,8
337,Timothy,Ryan,23,2
338,Russell,Meyer,23,13
339,Robin,Patterson,11,23
340,Kenneth,Bishop,28,27
341,William,White,11,27
342,Willie,Ferguson,28,17
343,John,Robinson,16,18
344,Lori,Shaw,26,8
345,Theresa,Wilson,15,3
346,Louis,Fields,6,8
347,Henry,Fowler,19,24
348,Ruth,Bell,25,0
349,Jose,Cook,17,12
350,Donald,Duncan,9,11
351,Catherine,Palmer,2,23
352,Robin,Graham,2,26
353,Jessica,Gutierrez,20,18
354,Deborah,Gomez,27,3
355,Eric,Barnes,22,25
356,Paula,Ward,17,1
357,Jessica,Moore,15,22
358,Paula,Wilson,2,6
359,Mildred,Butler,9,18
360,Marilyn,Jenkins,2,21
361,Marie,Green,12,4
362,Maria,Moreno,1,10
363,Mary,Mitchell,2,19
364,Walter,Davis,5,28
365,Louis,Hayes,25,4
366,Stephanie,Howard,13,3
367,Kenneth,George,17,11
368,Christine,Little,10,6
369,Diana,Freeman,24,12
370,Deborah,Jacobs,6,18
371,Ryan,Schmidt,15,14
372,Theresa,Ryan,1,11
373,Jane,Snyder,8,5
374,Russell,Roberts,5,20
375,Katherine,Williamson,25,27
376,John,Coleman,3,19
377,Heather,Campbell,10,0
378,Jane,Crawford,12,23
379,Jesse,West,28,6
380,Robert,Reynolds,7,2
381,Lisa,Gilbert,23,1
382,Michelle,Hudson,2,25
383,Nicole,Payne,16,20
384,Nancy,Burton,6,23
385,Juan,Baker,14,21
386,Walter,Harrison,4,19
387,Alice,Montgomery,12,24
388,Lawrence,Edwards,20,9
389,Judith,Henry,12,23
390,Albert,Stanley,25,26
391,Debra,Sanders,15,24
392,Timothy,Mills,14,6
393,Robin,Weaver,23,13
394,Ronald,Fields,0,5
395,Anthony,Bennett,20,21
396,Kelly,Watkins,7,27
397,Bobby,Alvarez,19,16
398,Carolyn,Brooks,15,17
399,Christopher,Black,13,10
400,Ashley,Hernandez,17,1
401,Carolyn,Evans,8,23
402,Robin,Elliott,9,23
403,Peter,Foster,19,2
404,Amy,Phillips,16,11
405,Jessica,Green,24,14
406,Lori,Elliott,9,8
407,Amanda,Crawford,27,5
408,Bonnie,Andrews,19,13
409,Brandon,Ryan,15,20
410,Debra,Adams,20,23
411,Juan,Burton,17,9
412,Rebecca,Green,22,4
413,Terry,Moore,4,11
414,Marilyn,Fox,21,14
415,Lori,Martin,8,17
416,Kelly,Martin,28,1
417,Jimmy,Dean,23,26
418,Joseph,Reid,21,21
419,Karen,Greene,14,9
420,Patrick,Green,4,18
421,Paula,Brooks,14,7
422,Jimmy,Knight,7,28
423,Roger,Spencer,19,19
424,Judith,Burton,20,23
425,Linda,Sanchez,9,15
426,Ronald,Banks,10,22
427,Amanda,Sims,25,0
428,Heather,Porter,12,28
429,George,Hernandez,24,20
430,Wayne,Harvey,10,18
431,Nancy,Fields,23,15
432,Matthew,Smith,6,22
433,Ernest,Watkins,1,1
434,Bruce,Fuller,28,28
435,Carlos,Johnson,0,24
436,Carolyn,Gomez,20,3
437,Brenda,Dunn,18,25
438,Annie,Torres,15,3
439,Jeffrey,Gutierrez,3,14
440,Helen,Harris,0,6
441,Christine,Allen,20,17
442,Christopher,Bradley,14,9
443,Kathleen,Austin,23,4
444,Christina,Myers,15,19
445,Nicholas,Hughes,27,24
446,Stephanie,Gomez,17,21
447,Jesse,Lawson,20,8
448,Chris,Scott,28,16
449,Sharon,Tucker,0,11
450,Bonnie,Thompson,7,1
451,Brian,Richards,23,24
452,Donald,Powell,7,15
453,Brenda,Collins,0,11
454,Amy,Scott,19,20
455,Wanda,Torres,1,1
456,Chris,Turner,18,9
457,Dorothy,Stevens,8,28
458,Ashley,Moreno,2,7
459,Sean,Spencer,22,20
460,Kelly,Gray,13,8
461,Kevin,Lynch,18,24
462,Craig,James,27,14
463,Debra,Ryan,2,17
464,Mark,Howard,5,24
465,Christopher,Ellis,18,18
466,George,Richards,13,15
467,Brian,Henry,17,26
468,Michelle,Walker,20,13
469,Kathy,Rivera,17,25
470,Phillip,Cook,25,6
471,Juan,Weaver,2,22
472,Amanda,Moreno,1,15
473,Linda,Morales,15,17
474,Marilyn,Warren,28,23
475,Laura,Freeman,20,3
476,Lisa,Mills,17,27
477,Jeffrey,Perez,0,2
478,Margaret,Powell,12,19
479,Gary,Wheeler,10,4
480,Harry,Brown,12,12
481,Ruby,Williams,10,20
482,Sandra,Olson,7,9
483,Fred,Torres,17,10
484,Aaron,Reed,0,21
485,Sharon,Lewis,18,22
486,Randy,Price,5,0
487,Thomas,Gutierrez,13,22
488,Amanda,Warren,14,12
489,Jeremy,Lewis,23,9
490,James,Martin,11,1
491,Roy,Simmons,7,1
492,Keith,Burton,14,25
493,Rebecca,Gonzalez,26,26
494,Melissa,Phillips,12,12
495,Julia,Robinson,16,24
496,Louis,Ryan,0,11
497,Lois,Ryan,10,4
498,Janet,Reid,24,16
499,Alice,Roberts,18,26
500,Pamela,Griffin,5,6
501,Arthur,Miller,17,5
502,Carlos,Banks,8,27
503,Jacqueline,Knight,27,28
504,Bonnie,Gardner,28,23
505,Jeremy,Wood,6,19
506,Sarah,Edwards,10,1
507,Peter,Gardner,23,18
508,Dorothy,Henry,15,9
509,Russell,Long,21,23
510,Gerald,Mcdonald,15,20
511,Dorothy,Jenkins,0,19
512,Kimberly,Hunt,22,2
513,Gloria,Franklin,11,10
514,Janice,Freeman,9,23
515,Beverly,Long,27,25
516,Scott,Austin,18,28
517,Brenda,Butler,6,26
518,Rachel,Barnes,21,25
519,Emily,Dixon,3,5
520,Mark,Perez,11,15
521,Sarah,Berry,26,27
522,Patricia,Boyd,10,2
523,Melissa,Bailey,28,0
524,Howard,Fernandez,26,23
525,Angela,Pierce,16,6
526,Albert,Harper,14,14
527,Pamela,Medina,5,6
528,Sarah,Perkins,15,9
529,Fred,Dean,28,4
530,Christopher,Long,1,20
531,Evelyn,Harris,16,28
532,Scott,Williams,0,6
533,Ann,Johnston,5,14
534,Christina,Holmes,2,13
535,Douglas,Barnes,18,10
536,Pamela,Fernandez,18,27
537,Walter,Flores,3,1
538,David,Ortiz,5,7
539,Pamela,Freeman,5,27
540,Christine,Bishop,24,27
541,Jean,Armstrong,13,2
542,Judy,Nichols,27,2
543,Raymond,Chavez,20,16
544,Jerry,Palmer,2,1
545,Rose,Lynch,26,21
546,Chris,Knight,18,28
547,Michelle,Lawson,28,6
548,Jean,Hill,20,14
549,Douglas,Kelley,6,13
550,Carlos,Perkins,17,3
551,Sandra,Romero,5,8
552,Benjamin,Warren,13,18
553,Jacqueline,Bennett,17,27
554,Judy,Foster,18,11
555,Benjamin,Ortiz,27,8
556,Roger,Richards,10,15
557,James,Hill,25,26
558,Shirley,Hicks,25,12
559,Sean,Anderson,4,6
560,Annie,Martinez,3,26
561,Donna,Bennett,7,6
562,Julie,Gomez,24,18
563,Bruce,Riley,7,22
564,Helen,Simmons,27,4
565,Joshua,Simmons,26,24
566,Scott,Porter,1,20
567,Aaron,Lynch,10,24
568,Kelly,Lynch,28,20
569,Walter,Carroll,3,5
570,Julia,Campbell,12,17
571,Gerald,Howell,3,12
572,Willie,Garrett,10,2
573,John,Elliott,9,18
574,Kelly,Carpenter,17,20
575,Evelyn,Lee,13,10
576,Steven,Wallace,8,22
577,Jacqueline,Taylor,5,2
578,Wanda,Morris,23,14
579,Melissa,Williamson,20,15
580,Paula,Graham,2,28
581,Rachel,Gonzales,2,25
582,Alice,Hanson,27,13
583,Arthur,Watkins,5,17
584,Frank,Rose,2,5
585,Billy,Meyer,23,21
586,Diana,Morgan,11,24
587,Todd,Ward,0,9
588,Phyllis,Williams,18,28
589,Christopher,Montgomery,27,20
590,Kathleen,Ruiz,22,24
591,Marilyn,Lewis,20,27
592,Russell,Chavez,13,11
593,Mark,Adams,0,10
594,Lawrence,Garrett,20,4
595,Judy,Washington,7,11
596,Chris,Sanders,9,4
597,Gloria,Moreno,10,22
598,Patricia,Johnson,13,12
599,Joe,Fowler,13,4
600,Lisa,Hansen,23,5
601,Elizabeth,James,5,0
602,Joe,Butler,9,16
603,William,Stevens,6,26
604,Ruth,Welch,21,21
605,Nicholas,Henry,27,20
606,Jesse,Spencer,21,25
607,Samuel,Mccoy,2,8
608,Jesse,Howard,9,12
609,Jason,Lawrence,0,27
610,Paul,Henry,22,22
611,Juan,Moore,1,20
612,Wanda,Scott,1,3
613,Lawrence,Watson,24,0
614,Janice,Jenkins,8,24
615,Rebecca,Berry,4,5
616,Anthony,Kelly,12,24
617,Dennis,Franklin,3,19
618,Mark,Rice,14,4
619,Wayne,George,28,28
620,Benjamin,Tucker,27,25
621,Christina,Diaz,26,13
622,Mary,Austin,6,16
623,Deborah,Cruz,24,22
624,Betty,Burton,7,0
625,Teresa,Oliver,21,10
626,Maria,Watson,27,20
627,Catherine,Bradley,11,14
628,Carlos,Kelly,25,27
629,Paul,Hunter,17,25
630,Maria,Taylor,0,2
631,David,Martinez,8,10
632,Robin,Peterson,7,27
633,Elizabeth,Young,10,10
634,Nicholas,Sanders,11,0
635,John,Jackson,9,16
636,Matthew,Perry,12,9
637,Jacqueline,Hanson,14,17
638,Robin,Walker,26,1
639,Diana,Mason,10,23
640,Cheryl,Russell,3,25
641,Mildred,Berry,18,22
642,Sara,Woods,14,6
643,Rose,Cooper,7,18
644,Christopher,Ellis,6,9
645,Ryan,Rice,12,14
646,Diana,Oliver,0,9
647,Nancy,Day,12,27
648,Ruth,Ellis,19,14
649,Theresa,Frazier,9,11
650,Andrea,Montgomery,0,25
651,Walter,Williamson,28,12
652,Alice,Shaw,9,15
653,Heather,Gilbert,20,7
654,Shirley,Lee,18,10
655,Louis,Meyer,1,10
656,Roger,Torres,12,25
657,Deborah,Ferguson,13,26
658,Emily,Mitchell,19,25
659,Victor,Tucker,19,15
660,Albert,Alvarez,9,18
661,Jose,Lewis,26,5
662,Steve,Riley,24,18
663,Aaron,Knight,17,1
664,Justin,Thomas,19,22
665,Scott,Rose,16,17
666,Joe,Phillips,9,22
667,Edward,Stephens,10,26
668,Earl,Bradley,3,3
669,Aaron,Cox,4,25
670,Amy,Little,2,9
671,Johnny,Cruz,27,24
672,Helen,Rivera,17,13
673,Cheryl,Foster,5,9
674,Joshua,Williamson,24,19
675,John,Cooper,5,13
676,Sarah,Rice,11,4
677,Janet,Turner,24,6
678,Dorothy,Mendoza,18,6
679,Amanda,Sims,24,15
680,Laura,Smith,17,3
681,Charles,Reed,21,27
682,Laura,Johnston,1,28
683,Linda,James,10,14
684,Christine,Parker,20,13
685,Gerald,Ryan,10,5
686,Norma,Evans,24,0
687,Jacqueline,Day,28,19
688,Raymond,Spencer,8,22
689,Joseph,Ray,15,26
690,Paula,Robinson,22,22
691,Brandon,Jacobs,27,4
692,Joan,Gilbert,19,18
693,Julia,Hernandez,20,4
694,Lisa,Matthews,8,1
695,Margaret,Kim,19,4
696,Jean,Young,13,24
697,Jose,Richardson,21,14
698,Michelle,Moore,27,18
699,Martha,Bailey,14,7
700,Earl,Davis,6,28
701,Stephen,Bishop,6,17
702,Christopher,Frazier,14,1
703,Antonio,Ramirez,19,22
704,Anthony,Cunningham,0,27
705,Louise,Gardner,4,17
706,Lisa,Lawson,23,14
707,Tammy,Andrews,1,21
708,Jacqueline,Mitchell,14,19
709,Lois,Day,0,20
710,Amanda,Fuller,24,25
711,Earl,Ramos,7,12
712,Mildred,Wheeler,10,10
713,Jimmy,Rogers,11,15
714,Patrick,Carpenter,5,27
715,Johnny,Powell,11,25
716,Steven,Bishop,28,5
717,Russell,Robinson,7,14
718,Billy,Turner,25,15
719,Cynthia,Burns,26,28
720,Denise,Mitchell,22,16
721,Phillip,Sullivan,5,9
722,Mark,White,8,13
723,Bruce,Spencer,15,4
724,Gregory,Rivera,8,26
725,Lois,Bell,11,12
726,Mark,Morgan,24,9
727,Maria,Hansen,4,13
728,Kelly,Arnold,15,27
729,Carolyn,Henderson,18,2
730,Mark,Kelley,9,14
731,Earl,Rivera,17,23
732,Annie,Sanders,9,23
733,Dennis,Kennedy,11,27
734,Peter,Dean,10,11
735,Debra,Webb,17,17
736,Frances,Frazier,26,20
737,Ann,Ross,18,28
738,Stephanie,Hall,11,27
739,Jerry,Hansen,8,27
740,Juan,Sullivan,1,5
741,Matthew,Dean,0,8
742,Cheryl,Hawkins,8,10
743,Donna,Stevens,6,15
744,Douglas,White,28,22
745,Julia,Lee,23,28
746,Joe,Elliott,13,23
747,Heather,Black,24,8
748,Shirley,Coleman,10,27
749,Doris,Hansen,8,15
750,Jennifer,Garcia,15,4
751,Frances,Young,26,28
752,Irene,Castillo,11,9
753,Theresa,Matthews,26,25
754,Melissa,Boyd,8,3
755,Sharon,Mason,28,22
756,Sharon,Hawkins,6,22
757,Tammy,Burton,5,19
758,Jane,Fields,23,14
759,Teresa,Hart,23,23
760,Justin,Meyer,25,11
761,Andrew,Martin,15,9
762,Ralph,Sanchez,1,12
763,Sarah,Chapman,26,2
764,Marie,Hamilton,12,22
765,Mary,Roberts,26,13
766,Lois,Graham,19,1
767,Sara,Scott,8,20
768,Frances,Carr,1,11
769,Joseph,Rogers,22,4
770,Alan,Robertson,3,13
771,Arthur,Matthews,23,20
772,Jeremy,Thompson,28,1
773,William,Clark,15,1
774,Irene,Payne,25,19
775,Juan,Ross,22,4
776,Frances,Freeman,17,5
777,Michelle,Cruz,8,19
778,Dorothy,Gray,18,13
779,Jeffrey,George,12,3
780,Michelle,Wheeler,10,15
781,Todd,Perry,22,8
782,Maria,Alexander,0,25
783,Marie,Reyes,9,28
784,Tammy,Reynolds,17,13
785,Shirley,Bowman,15,24
786,Anne,Hamilton,24,9
787,Henry,Berry,4,7
788,Tina,Butler,26,25
789,Wanda,Perkins,7,21
790,Frances,Knight,0,1
791,Paul,Nichols,9,9
792,Sarah,Duncan,21,24
793,Jennifer,Murray,22,22
794,Michelle,Washington,6,16
795,Linda,Howard,19,6
796,Anne,Dean,21,9
797,Nancy,Cunningham,5,5
798,James,Martin,28,13
799,Brenda,Robertson,18,8
800,Tammy,Hall,3,6
801,Susan,Fowler,2,13
802,Joe,Wilson,9,22
803,Wanda,Lane,4,20
804,Amanda,Spencer,18,24
805,Roy,Bell,8,2
806,Jeffrey,Kelly,19,26
807,Betty,Butler,1,20
808,Rebecca,Hunter,2,6
809,Jason,Jones,6,22
810,Fred,Robertson,0,13
811,Henry,Lee,8,3
812,Michelle,Edwards,16,22
813,William,Ward,15,17
814,Stephanie,Olson,27,1
815,Karen,George,0,23
816,John,Walker,3,10
817,Judith,Chapman,10,27
818,Brenda,Bradley,24,3
819,Ruth,Jordan,25,3
820,Gregory,Perez,26,22
821,Ryan,Kelley,11,7
822,Roy,Mendoza,13,27
823,Christina,Young,21,16
824,Wanda,Hudson,9,7
825,Nicholas,Alvarez,20,19
826,Irene,Fuller,17,15
827,Daniel,Romero,10,13
828,Richard,Taylor,14,24
829,Karen,Day,21,22
830,Timothy,Rogers,21,12
831,Ryan,Bryant,19,19
832,Nicole,Mcdonald,12,10
833,Virginia,Perry,2,19
834,Wanda,Harper,16,11
835,Ralph,Williamson,2,16
836,Judith,Castillo,20,11
837,Russell,Hayes,16,5
838,Theresa,Myers,3,22
839,Judith,George,11,14
840,Timothy,Morris,10,17
841,Paula,Flores,9,24
842,Patricia,Woods,22,10
843,Melissa,Simmons,3,22
844,Rebecca,Lopez,2,7
845,Jack,Crawford,15,9
846,Carol,Carroll,28,1
847,Roger,Wagner,25,18
848,Fred,Lewis,26,1
849,Ryan,Stephens,11,0
850,Elizabeth,Scott,22,5
851,Brenda,Warren,13,4
852,Ernest,Williams,1,10
853,Joshua,Carr,9,7
854,Deborah,Lawrence,18,10
855,Ronald,Wood,19,0
856,Jason,Harvey,6,7
857,Laura,Mendoza,26,28
858,Cheryl,Willis,23,0
859,Harry,Davis,15,19
860,Anthony,Roberts,2,4
861,Harold,Willis,26,22
862,Wanda,Watkins,25,5
863,Stephen,Burns,3,9
864,Aaron,Bradley,8,23
865,Ann,Black,14,8
866,Theresa,Tucker,21,10
867,Gerald,Ellis,24,14
868,Laura,Spencer,11,23
869,Arthur,Garcia,23,19
870,Aaron,Reynolds,3,27
871,Joan,Peterson,7,9
872,Sharon,Hanson,23,7
873,Steven,George,20,23
874,Michelle,Sanchez,27,24
875,Jennifer,Mitchell,21,16
876,Dorothy,Stewart,22,20
877,Russell,Carroll,3,9
878,Edward,Freeman,28,9
879,Andrea,Gray,28,20
880,Carol,Alexander,21,9
881,Nancy,Green,17,0
882,Christina,Morris,1,1
883,Steve,Harris,0,6
884,Denise,Austin,5,17
885,Larry,Brooks,3,3
886,Shirley,Myers,17,21
887,John,Knight,11,21
888,Janet,Richards,17,17
889,Judy,Mills,21,9
890,Barbara,Bishop,17,18
891,Kimberly,Henderson,14,11
892,Arthur,Freeman,5,4
893,Stephanie,Ford,20,22
894,Benjamin,Jones,3,22
895,Cheryl,Murray,10,4
896,Katherine,Ryan,10,7
897,Kathryn,Scott,26,7
898,Clarence,Gutierrez,28,17
899,Linda,Olson,28,0
900,Johnny,Gibson,14,1
901,Martin,Andrews,10,14
902,Deborah,Daniels,28,11
903,Joe,Davis,4,14
904,Irene,Ryan,12,21
905,Scott,Boyd,24,11
906,Carolyn,Dunn,11,11
907,Randy,Clark,8,7
908,Timothy,Hall,10,21
909,Paula,Kim,4,16
910,James,Riley,28,22
911,Joan,Alexander,0,14
912,Harry,Griffin,23,1
913,Todd,White,11,20
914,Beverly,Williamson,24,8
915,Sean,Myers,4,13
